Heat/Lot ID,Temp (R),Stress (ksi),Time to 1% (h)
  CSC sht,1659.4,16,440
  CSC sht,1659.4,15,1600
  CSC sht,1859.4,12,10.5
  CSC sht,1859.4,10,16.5
  CSC sht,1859.4,8,36
  CSC sht,1859.4,7,220
  CSC sht,1959.4,8,8.7
  CSC sht,1959.4,6,35
  CSC sht,1959.4,5,100
  CSC sht,1959.4,3.5,2800
  CSC sht,2059.4,5,8.5
  CSC sht,2059.4,4,75
  CSC sht,2259.4,1.5,52
8092297m,1459.4,20,52000
8092297m,1559.4,15.5,12000
8092297m,1559.4,12.5,86000
8092297m,1659.4,12,1300
AaA,1751.4,12.76,74.4
AaA,1841.4,7.69,74.4
AaA,1841.4,5.95,273
AaA,1841.4,4.79,1150
AaA,1841.4,3.77,4810
AaA,1931.4,4.79,108
AaA,1931.4,3.77,691
AaA,1931.4,2.9,2260
AaA,2021.4,2.9,302
AaB,1751.4,12.76,250
AaB,1841.4,10.01,24
AaB,1841.4,7.69,158
AaB,1841.4,5.95,1620
AaB,1841.4,4.79,5210
AaB,1841.4,3.77,18200
AaB,1886.4,5.95,307
AaB,1931.4,4.79,427
AaB,1931.4,3.77,1560
AaB,1931.4,2.9,7940
AaB,2021.4,2.9,1170
AaD,1571.4,25.67,68
AaD,1661.4,24.22,13.3
AaD,1661.4,21.32,86.5
AaD,1661.4,18.42,1410
AaD,1661.4,16.39,3940
AaD,1751.4,19.87,6
AaD,1751.4,17.11,24.5
AaD,1751.4,15.66,82
AaD,1751.4,14.21,214
AaD,1751.4,12.04,1440
AaD,1751.4,9.28,10900
AaD,1841.4,14.21,5.2
AaD,1841.4,10.73,191
AaD,1841.4,10.01,214
AaD,1841.4,8.56,1810
AaD,1841.4,7.11,2760
AaD,1841.4,7.11,3360
AaD,1841.4,5.66,6380
AaD,1931.4,7.11,362
AaD,1931.4,5.66,1100
AaD,1931.4,4.21,3810
AAL,1571.4,22.77,692
AAL,1571.4,19.87,10600
AAL,1571.4,18.42,15900
AAL,1571.4,15.66,34900
AAL,1661.4,22.77,3
AAL,1661.4,15.66,800
AAL,1661.4,14.21,2470
AAL,1661.4,12.76,7110
AAL,1661.4,12.04,15000
AAL,1661.4,10.01,102000
AAL,1661.4,8.85,174000
AAL,1751.4,15.66,35
AAL,1751.4,12.76,95
AAL,1751.4,10.73,747
AAL,1751.4,8.85,23200
AAL,1751.4,7.69,26500
AAL,1751.4,6.82,53800
AAL,1751.4,5.95,118000
AAL,1841.4,12.76,8
AAL,1841.4,7.69,336
ADA,1751.4,12.76,93
ADA,1841.4,10.01,23.5
ADA,1841.4,7.69,108
ADA,1841.4,5.95,390
ADA,1841.4,4.79,2400
ADA,1841.4,3.77,6020
ADA,1931.4,4.79,220
ADA,1931.4,3.77,836
ADA,1931.4,2.9,3030
ADA,2021.4,2.9,511
ADB,1751.4,12.76,84.5
ADB,1841.4,10.01,22.5
ADB,1841.4,7.69,138
ADB,1841.4,5.95,1480
ADB,1841.4,4.79,5830
ADB,1841.4,3.77,10200
ADB,1931.4,4.79,182
ADB,1931.4,3.77,1360
ADB,1931.4,2.9,3500
ADB,2021.4,2.9,462
ADC,1661.4,19.87,48
ADC,1751.4,12.76,76.5
ADC,1841.4,10.01,26.5
ADC,1841.4,7.69,238
ADC,1841.4,5.95,1540
ADC,1841.4,4.79,3030
ADC,1841.4,3.77,4590
ADC,1931.4,4.79,444
ADC,1931.4,3.77,2300
ADC,1931.4,2.9,5610
ADC,2021.4,2.9,1650
ADD,1751.4,12.76,94
ADD,1841.4,10.01,34
ADD,1841.4,7.69,338
ADD,1841.4,5.95,1420
ADD,1841.4,4.79,2170
ADD,1841.4,3.77,4010
ADD,1931.4,4.79,670
ADD,1931.4,3.77,1900
ADD,1931.4,2.9,6120
ADD,2021.4,2.9,1790
ADE,1751.4,12.76,86
ADE,1841.4,10.01,25.5
ADE,1841.4,7.69,136
ADE,1841.4,5.95,777
ADE,1841.4,4.79,4310
ADE,1841.4,3.77,11200
ADE,1931.4,4.79,236
ADE,1931.4,3.77,2160
ADE,1931.4,2.9,6200
ADE,2021.4,2.9,2140
ADF,1751.4,12.76,85
ADF,1841.4,10.01,23.5
ADF,1841.4,7.69,154
ADF,1841.4,5.37,3500
ADF,1841.4,4.79,4420
ADF,1841.4,3.77,10900
ADF,1931.4,4.79,400
ADF,1931.4,3.77,1860
ADF,2021.4,3.77,176
ADF,2021.4,2.9,2030
BSCC-1,1661.4,15.64,740
BSCC-1,1751.4,11.23,200
BSCC-1,1751.4,6.68,4300
BSCC-1,1841.4,6.68,270
BSCC-1,1841.4,4.41,800
