Heat/Lot ID,Temp (K),Stress (MPa),Life (h)
75M,898,195.98,1280
75M,898,185.98,1562
75M,898,185.98,1983
75M,898,185.98,2497
75M,898,178.98,2660
75M,898,171.98,4315
75M,898,164.98,5290
8092297A,866.33,275.76,109.8
8092297A,866.33,258.53,146.6
8092297A,866.33,241.29,386.7
8092297A,866.33,241.29,446
8092297A,866.33,224.06,562
8092297A,866.33,206.82,2586.1
8092297M,810.78,275.76,3482.2
8092297M,810.78,241.29,12711.3
8092297M,810.78,206.82,62067.1
8092297M,810.78,137.88,93233
8092297M,838.56,275.76,750.3
8092297M,866.33,206.82,3246
8092297M,866.33,172.35,11818
8092297M,866.33,106.86,71514
8092297M,921.89,206.82,110.7
8092297M,921.89,172.35,523.3
8092297M,921.89,137.88,1884.2
8092297M,921.89,96.52,10305
8092297M,921.89,82.73,30294.7
8092297M,921.89,68.94,65609.5
8092297M,977.44,82.73,2191.7
8092297M,977.44,68.94,6609.5
8092297M,1033,96.52,100.8
8092297M,1033,96.52,780
82A,898,220.98,2169
82A,898,213.98,2614
82A,898,206.98,4038
82A,898,196.98,7070
82A,898,178.98,7850
83A,823,330.97,1820
83A,823,316.97,2300
83A,823,316.97,3750
83A,898,234.98,790
83A,898,223.98,844
83A,898,223.98,1499
83A,898,216.97,2192
83A,898,213.98,2676
83A,898,213.98,4416
83A,898,206.98,4550
83A,898,195.98,7000
83A,898,171.98,11220
915509A,866.33,275.76,142
915509A,866.33,241.29,572
915509M,866.33,275.76,186
AAA,873,264.97,158.3
AAA,873,264.97,217.4
AAA,873,234.97,811.4
AAA,873,234.97,1036.8
AAA,873,215.97,1704.9
AAA,873,195.98,4715.3
AAA,873,176.98,9792.7
AAA,873,195.98,9949.4
AAA,873,156.98,18851.3
AAA,873,136.98,39090.4
AAA,873,126.99,62873.3
AAA,873,122.99,70750.7
AAA,873,117.99,102824.8
AAA,923,195.98,166
AAA,923,195.98,176.5
AAA,923,156.98,857
AAA,923,136.98,1770.6
AAA,923,156.98,2458.7
AAA,923,107.99,9268.7
AAA,923,107.99,11228.8
AAA,923,97.99,19876.8
AAA,923,87.99,33882.8
AAA,923,82.99,58464.6
AAA,923,77.99,65752.1
AAA,973,136.98,126.6
AAA,973,136.98,184.2
AAA,973,107.99,625.5
AAA,973,107.99,888.5
AAA,973,87.99,2169.7
AAA,973,87.99,2639
AAA,973,77.99,3957.9
AAA,973,68.99,7763
AAA,973,73.99,8504.6
AAA,973,60.99,12394.8
AAA,973,60.99,20446.7
AAA,973,52.99,21478.8
AAA,973,46.99,33723.4
AAA,973,52.99,35050.9
AAA,973,46.99,54325.7
AAA,973,41,56959.2
AAA,973,41,71503.6
AAA,1023,87.99,145.3
AAA,1023,87.99,223.4
AAA,1023,68.99,679.6
AAA,1023,68.99,1081.9
AAA,1023,52.99,2734.6
AAA,1023,52.99,4034.5
AAA,1023,41,7587.7
AAA,1023,33,16990.6
AAA,1023,37,17022.9
AAA,1023,26,37609.5
AAA,1073,52.99,388.4
AAA,1073,41,1268.2
AAA,1073,33,3125.9
AAA,1073,26,7234.1
AAA,1073,20,18475
AAA,1123,33,564.5
AAA,1123,26,1337.8
AAA,1123,20,4225.2
AAB,873,264.97,243
AAB,873,234.97,373.8
AAB,873,215.97,868.5
AAB,873,215.97,887.7
AAB,873,234.97,1049.5
AAB,873,195.98,2716.3
AAB,873,176.98,6914.1
AAB,873,195.98,12956.2
AAB,873,156.98,14743.6
AAB,873,136.98,30572.5
AAB,873,126.99,49271.8
AAB,873,122.99,58106.8
AAB,873,117.99,78637.4
AAB,898,176.98,6098.2
AAB,923,195.98,210.6
AAB,923,156.98,495.8
AAB,923,136.98,1335.9
AAB,923,156.98,1998.4
AAB,923,107.99,6790.9
AAB,923,107.99,9346.9
AAB,923,97.99,14432.3
AAB,923,87.99,36748.5
AAB,923,82.99,49051
AAB,923,77.99,63269.6
AAB,948,136.98,758.3
AAB,973,136.98,183.4
AAB,973,107.99,468.7
AAB,973,107.99,511.8
AAB,973,87.99,1500.4
AAB,973,87.99,1636.2
AAB,973,87.99,1796.7
AAB,973,77.99,3283
AAB,973,73.99,6016.8
AAB,973,68.99,7423.3
AAB,973,60.99,15769.8
AAB,973,60.99,16659.8
AAB,973,52.99,29984
AAB,973,52.99,39331.5
AAB,973,46.99,47416.5
AAB,973,41,75033.7
AAB,1023,87.99,161.4
AAB,1023,87.99,162.7
AAB,1023,68.99,644.1
AAB,1023,68.99,865
AAB,1023,52.99,2690.6
AAB,1023,50.99,4512.5
AAB,1023,41,11766.8
AAB,1023,37,21757
AAB,1023,33,33223.6
AAB,1023,26,130477.9
AAB,1048,41,3597.5
AAB,1073,52.99,409
AAB,1073,41,1460.1
AAB,1073,33,4027.9
AAB,1073,26,14776.1
AAB,1073,20,48834.7
AAB,1123,33,625.7
AAB,1123,26,2138.7
AAB,1123,20,8823.4
AAC,873,264.97,207.4
AAC,873,234.97,777.2
AAC,873,215.97,2167.3
AAC,873,195.98,8333.1
AAC,873,176.98,15001
AAC,873,156.98,24572.5
AAC,873,136.98,42329.2
AAC,873,126.99,63872.6
AAC,873,117.99,99189.7
AAC,873,107.99,173814.3
AAC,923,195.98,161.7
AAC,923,156.98,1600.8
AAC,923,136.98,2819.6
AAC,923,107.99,10784
AAC,923,97.99,17413.6
AAC,923,87.99,34199
AAC,923,77.99,78146.5
AAC,973,136.98,123.9
AAC,973,107.99,624.2
AAC,973,87.99,2406.2
AAC,973,73.99,6574.1
AAC,973,60.99,15632.8
AAC,973,52.99,26892
AAC,973,46.99,40807.5
AAC,973,41,54240.6
AAC,1023,87.99,187.4
AAC,1023,68.99,1015
AAC,1023,52.99,4493.7
AAD,773,470.95,4178.8
AAD,773,430.95,7158.1
AAD,773,391.95,11164.2
AAD,823,391.95,373.9
AAD,823,352.96,938.6
AAD,823,323.96,1543
AAD,823,293.97,4580.5
AAD,823,274.97,10173.1
AAD,823,244.97,37088
AAD,873,274.97,290
AAD,873,254.97,736.4
AAD,873,244.97,1151.9
AAD,873,234.97,1902.7
AAD,873,210.98,7174.1
AAD,873,176.98,20720.8
AAD,923,195.98,416.7
AAD,923,166.98,1383
AAD,923,146.98,2869.7
AAD,923,126.99,7161
AAD,923,112.99,19119.8
AAD,973,136.98,187.8
AAD,973,117.99,565.1
AAD,973,107.99,1044
AAD,973,97.99,2464.8
AAD,973,82.99,7044.7
AAD,973,63.99,32325.5
AAD,1023,97.99,151.8
AAD,1023,73.99,1381.5
AAD,1023,68.99,1785
AAD,1023,58.99,5546.5
AAD,1023,48.99,10200.7
AAD,1023,48.99,11683
AAD,1073,48.99,1536.9
AAD,1073,39,4505.7
AAD,1073,29,15553.6
AAL,873,264.97,321.1
AAL,873,234.97,925.4
AAL,873,215.97,1977.2
AAL,873,215.97,2444.5
AAL,873,195.98,4822
AAL,873,176.98,10605.3
AAL,873,176.98,11007.5
AAL,873,156.98,18483.6
AAL,873,156.98,19646.2
AAL,873,136.98,38940.1
AAL,873,136.98,42079.8
AAL,873,136.98,45688.2
AAL,873,126.99,61463.9
AAL,873,126.99,78055.8
AAL,873,117.99,95664.9
AAL,873,107.99,152758
AAL,923,195.98,126.8
AAL,923,156.98,761.5
AAL,923,156.98,811.4
AAL,923,136.98,2127.1
AAL,923,107.99,10460.7
AAL,923,107.99,10477.6
AAL,923,97.99,25771.7
AAL,923,97.99,25860.1
AAL,923,87.99,47073.3
AAL,923,87.99,48580.2
AAL,923,87.99,55367
AAL,923,82.99,64516.7
AAL,923,82.99,82077.7
AAL,973,136.98,109.9
AAL,973,107.99,592
AAL,973,107.99,624.4
AAL,973,87.99,2357
AAL,973,87.99,2495.1
AAL,973,73.99,10136.8
AAL,973,73.99,11817.9
AAL,973,60.99,34728.8
AAL,973,60.99,50195.5
AAL,973,52.99,69139.3
AAL,973,52.99,72737
AAL,973,52.99,77514
AAL,973,52.99,89543.7
AAL,973,46.99,105624.1
AAL,973,46.99,116785.6
AAL,973,41,178190.4
AAL,973,41,222705.3
AAL,1023,87.99,234
AAL,1023,87.99,234.8
AAL,1023,68.99,1048.9
AAL,1023,52.99,5548.4
AAL,1023,52.99,7413.3
AAL,1023,37,32781.8
AAM,773,401.95,15071.5
AAM,773,391.95,16645.9
AAM,823,372.96,225.4
AAM,823,362.96,633.3
AAM,823,342.96,1826
AAM,823,332.96,2177
AAM,823,293.97,18235.5
AAM,873,283.97,214.8
AAM,873,264.97,307.2
AAM,873,264.97,623
AAM,873,234.97,1027.1
AAM,873,254.97,1164
AAM,873,215.97,3417.5
AAM,873,234.97,3438
AAM,873,195.98,9099.6
AAM,873,176.98,16988.4
AAM,873,195.98,22090.9
AAM,873,156.98,29004.7
AAM,873,175.98,37586.3
AAM,873,136.98,51914
AAM,873,126.99,85719.8
AAM,873,117.99,142185.9
AAM,923,215.97,139.8
AAM,923,195.98,186.2
AAM,923,185.98,574.8
AAM,923,156.98,1295.3
AAM,923,166.98,1694
AAM,923,136.98,3073.2
AAM,923,136.98,5954.8
AAM,923,107.99,13361.6
AAM,923,107.99,21448.2
AAM,923,97.99,30880.5
AAM,923,87.99,47233.2
AAM,923,87.99,61153
AAM,923,77.99,99320.7
AAM,973,136.98,140.9
AAM,973,146.98,184.5
AAM,973,126.99,437.5
AAM,973,107.99,759.2
AAM,973,107.99,1239.2
AAM,973,87.99,2944.8
AAM,973,87.99,3585.3
AAM,973,73.99,10198.6
AAM,973,68.99,11027
AAM,973,60.99,28241.8
AAM,973,52.99,33653.6
AAM,973,52.99,54592.6
AAM,973,46.99,84836.2
AAM,1023,87.99,269
AAM,1023,87.99,291.4
AAM,1023,68.99,1157.8
AAM,1023,68.99,1317.6
AAM,1023,52.99,4229
AAM,1023,52.99,5736
AAM,1023,33,20245.3
AAM,1023,26,44380.3
AAN,873,264.97,238.9
AAN,873,234.97,713.4
AAN,873,215.97,1734
AAN,873,195.98,5127.6
AAN,873,176.98,10867.4
AAN,873,156.98,19980.4
AAN,873,136.98,39434.3
AAN,873,126.99,68090.4
AAN,873,117.99,105029.3
AAN,923,195.98,108.5
AAN,923,156.98,825.7
AAN,923,136.98,1785
AAN,923,107.99,10957.2
AAN,923,97.99,19996.8
AAN,923,87.99,42077
AAN,923,77.99,81541.7
AAN,973,136.98,103.3
AAN,973,107.99,586.7
AAN,973,87.99,2686.8
AAN,973,73.99,9042.2
AAN,973,60.99,24442.4
AAN,973,52.99,48497.2
AAN,973,46.99,65751.8
AAN,1023,87.99,252.2
AAN,1023,68.99,1036.2
AAN,1023,52.99,4783.8
ADA,873,264.97,400.2
ADA,873,234.97,1930.4
ADA,873,195.98,7593
ADA,923,195.98,218.1
ADA,923,136.98,2661.5
ADA,923,107.99,7297.7
ADA,973,136.98,129.1
ADA,973,107.99,535.6
ADA,973,87.99,1684.6
ADA,973,77.99,3461
ADA,973,68.99,7180.1
ADA,973,60.99,14490.8
ADA,973,52.99,31653.1
ADA,1023,87.99,194.3
ADA,1023,68.99,802.2
ADA,1023,52.99,2979.4
ADA,1023,41,8872.8
ADA,1023,33,18143.3
ADA,1023,26,44459.3
ADA,1073,52.99,457.7
ADA,1073,41,1440
ADA,1073,33,4220
ADA,1073,26,8051.1
ADA,1073,20,25804
ADA,1123,33,661.6
ADA,1123,26,1936.8
ADA,1123,20,4873.7
ADB,873,264.97,366.1
ADB,873,234.97,870.9
ADB,873,195.98,5759
ADB,923,195.98,139.8
ADB,923,136.98,2141.1
ADB,923,107.99,7297.7
ADB,973,107.99,425.1
ADB,973,87.99,1370.5
ADB,973,77.99,2506.9
ADB,973,68.99,6729.8
ADB,973,60.99,12122.6
ADB,973,52.99,42837.1
ADB,1023,87.99,126.8
ADB,1023,68.99,576.5
ADB,1023,52.99,2725.8
ADB,1023,41,9266.1
ADB,1023,33,23024.4
ADB,1023,26,53844
ADB,1073,52.99,390.6
ADB,1073,41,1239.4
ADB,1073,33,3349.4
ADB,1073,26,8599
ADB,1073,20,21527.8
ADB,1123,33,718.5
ADB,1123,26,1622.7
ADB,1123,20,5105.8
ADC,873,264.97,269.7
ADC,873,234.97,824.6
ADC,873,195.98,5533.2
ADC,923,195.98,148.9
ADC,923,136.98,1923.6
ADC,923,107.99,6404.3
ADC,973,107.99,498
ADC,973,87.99,1485.1
ADC,973,77.99,2759.4
ADC,973,68.99,5556.4
ADC,973,60.99,8745.3
ADC,973,52.99,14786.4
ADC,973,41,32409
ADC,1023,87.99,170.1
ADC,1023,68.99,656.4
ADC,1023,52.99,2137.3
ADC,1023,41,6564.4
ADC,1023,33,11187.8
ADC,1023,26,22181.1
ADC,1073,52.99,407.2
ADC,1073,41,1322.9
ADC,1073,33,3109
ADC,1073,26,7988
ADC,1073,20,21557.2
ADC,1123,33,623.4
ADC,1123,26,2130.4
ADC,1123,20,5619.2
ADD,873,264.97,254.5
ADD,873,234.97,1033
ADD,873,195.98,7326.8
ADD,923,195.98,163.1
ADD,923,136.98,2266.8
ADD,923,107.99,6194.9
ADD,973,136.98,107.2
ADD,973,107.99,469.8
ADD,973,87.99,1304.8
ADD,973,77.99,2285.6
ADD,973,68.99,4410.6
ADD,973,60.99,7265.5
ADD,973,52.99,13732.9
ADD,973,41,29350.2
ADD,1023,87.99,172.6
ADD,1023,68.99,555.4
ADD,1023,52.99,1724.7
ADD,1023,41,5383.9
ADD,1023,33,9352.7
ADD,1023,26,19438.5
ADD,1073,52.99,389.6
ADD,1073,41,1010
ADD,1073,33,2823
ADD,1073,26,6756
ADD,1073,20,16869.3
ADD,1123,33,578.4
ADD,1123,26,1598.8
ADD,1123,20,5032.6
ADE,873,234.97,804.7
ADE,873,195.98,4468.7
ADE,923,195.98,130.5
ADE,923,136.98,1545.4
ADE,923,107.99,5856.2
ADE,973,107.99,433
ADE,973,87.99,1359.3
ADE,973,77.99,2872.2
ADE,973,68.99,6558
ADE,973,60.99,12850.9
ADE,973,52.99,26746.7
ADE,973,46.99,40365
ADE,1023,87.99,135.2
ADE,1023,68.99,640.5
ADE,1023,52.99,2651.2
ADE,1023,41,8302.3
ADE,1023,33,18172.8
ADE,1023,26,46416.6
ADE,1073,52.99,447.7
ADE,1073,41,1358.1
ADE,1073,33,3975.7
ADE,1073,26,10206.9
ADE,1073,20,28514
ADE,1123,33,1839.2
ADE,1123,26,2911.8
ADE,1123,20,11133.4
ADF,873,234.97,680.6
ADF,873,195.98,4174.2
ADF,923,195.98,131.1
ADF,923,136.98,1425
ADF,923,107.99,4566.6
ADF,973,107.99,417.6
ADF,973,87.99,1217.4
ADF,973,77.99,2590.7
ADF,973,68.99,4636
ADF,973,60.99,8075.4
ADF,973,52.99,16686.1
ADF,973,41,35573.5
ADF,1023,87.99,161.9
ADF,1023,68.99,615.4
ADF,1023,52.99,2094.6
ADF,1023,37,9613.4
ADF,1023,33,13737.9
ADF,1023,26,33278.6
ADF,1073,52.99,342.5
ADF,1073,41,1221.7
ADF,1073,33,3463.8
ADF,1073,26,7917.4
ADF,1073,20,24706.3
ADF,1123,33,764.1
ADF,1123,26,2382
ADF,1123,20,9675.1
BSCC-1,873,247.09,156
BSCC-1,873,188.26,3987
BSCC-1,923,185.32,120
BSCC-1,923,185.32,188
BSCC-1,923,153.94,1049
BSCC-1,923,107.86,3862
BSCC-1,973,77.46,2501
BSCC-1,1023,77.46,394
BSCC-1,1023,46.09,2808
BSCC-1,1023,30.4,7873
BSCC-10,873,262.79,243
BSCC-10,873,239.25,558
BSCC-10,873,215.72,2275
BSCC-10,873,193.16,8177
BSCC-10,873,177.48,13118
BSCC-10,873,153.94,26143
BSCC-10,873,139.24,42016
BSCC-10,898,208.85,621
BSCC-10,898,185.32,2226
BSCC-10,898,161.79,5365
BSCC-10,898,147.08,8346
BSCC-10,898,131.39,12153
BSCC-10,923,185.32,345
BSCC-10,923,153.94,1469
BSCC-10,923,139.24,2215
BSCC-10,923,115.7,6044
BSCC-10,923,100.01,11495
BSCC-10,923,85.31,23556
BSCC-10,948,153.94,242
BSCC-10,948,131.39,684
BSCC-10,948,107.86,2072
BSCC-10,948,92.17,3908
BSCC-10,948,77.46,11055
BSCC-10,973,123.55,297
BSCC-10,973,100.01,1006
BSCC-10,973,85.31,2091
BSCC-10,973,69.62,5544
BSCC-10,973,53.93,19229
BSCC-11,773,432.41,6346
BSCC-11,773,416.73,7160
BSCC-11,773,393.19,7384
BSCC-11,823,354.95,1141
BSCC-11,873,215.72,221
BSCC-11,873,277.49,271
BSCC-11,873,231.4,416
BSCC-11,873,185.32,6988
BSCC-11,973,153.94,131
BSCC-11,973,123.55,509
BSCC-11,973,107.86,1086
BSCC-11,973,77.46,4735
BSCC-12,873,223.56,5860
BSCC-12,873,208.85,20427
BSCC-12,873,185.32,47040
BSCC-12,898,193.16,6948
BSCC-12,898,169.63,14998
BSCC-12,898,147.08,22449
BSCC-12,898,131.39,32790
BSCC-12,923,161.79,3343
BSCC-12,923,147.08,3457
BSCC-12,923,139.24,6844
BSCC-12,923,107.86,20440
BSCC-12,973,85.31,6100
BSCC-13,923,161.79,1299
BSCC-13,923,139.24,5819
BSCC-13,923,107.86,14405
BSCC-130,873,215.72,1290
BSCC-130,873,193.16,9085
BSCC-130,873,177.48,19358
BSCC-130,873,153.94,40895
BSCC-130,873,139.24,71821
BSCC-130,898,208.85,333
BSCC-130,898,185.32,1799
BSCC-130,898,161.79,7396
BSCC-130,898,147.08,14870
BSCC-130,898,131.39,25105
BSCC-130,923,185.32,272
BSCC-130,923,153.94,2375
BSCC-130,923,139.24,5245
BSCC-130,923,115.7,14044
BSCC-130,923,100.01,22879
BSCC-130,923,85.31,45317
BSCC-130,948,153.94,352
BSCC-130,948,131.39,1090
BSCC-130,948,107.86,3766
BSCC-130,948,92.17,8310
BSCC-130,973,123.55,341
BSCC-130,973,100.01,1184
BSCC-130,973,85.31,2994
BSCC-130,973,69.62,7714
BSCC-137,873,235.33,617
BSCC-137,873,215.72,1544
BSCC-137,873,192.18,23289
BSCC-137,873,177.48,49296
BSCC-137,898,208.85,545
BSCC-137,898,131.39,30698
BSCC-137,923,215.72,103
BSCC-137,923,185.32,1385
BSCC-137,923,151,5944
BSCC-137,923,139.24,7124
BSCC-137,923,115.7,15221
BSCC-137,923,100.01,27209
BSCC-137,948,153.94,957
BSCC-137,948,77.46,36618
BSCC-137,973,153.94,104
BSCC-137,973,123.55,504
BSCC-137,973,100.01,2145
BSCC-137,973,85.31,4155
BSCC-137,973,69.62,15902
BSCC-138,873,239.25,230
BSCC-138,873,215.72,347
BSCC-138,873,193.16,1792
BSCC-138,873,177.48,10034
BSCC-138,873,153.94,29464
BSCC-138,898,208.85,109
BSCC-138,898,131.39,14190
BSCC-138,923,185.32,241
BSCC-138,923,153.94,1609
BSCC-138,923,139.24,2859
BSCC-138,923,115.7,9394
BSCC-138,923,100.01,24453
BSCC-138,948,153.94,255
BSCC-138,948,77.46,37413
BSCC-138,973,123.55,298
BSCC-138,973,100.01,1413
BSCC-138,973,85.31,3913
BSCC-138,973,69.62,18601
BSCC-14,873,223.56,4390
BSCC-14,873,193.16,10112
BSCC-14,873,208.85,17023
BSCC-14,873,185.32,39811
BSCC-14,898,193.16,5674
BSCC-14,898,169.63,14211
BSCC-14,898,147.08,21293
BSCC-14,898,131.39,33233
BSCC-14,923,161.79,2556
BSCC-14,923,139.24,5774
BSCC-14,923,107.86,24065
BSCC-14,973,77.46,10043
BSCC-142,873,239.25,662
BSCC-142,873,215.72,2205
BSCC-142,873,192.18,6607
BSCC-142,873,177.48,11117
BSCC-142,873,153.94,25019
BSCC-142,898,208.85,550
BSCC-142,898,131.39,11600
BSCC-142,898,115.7,18928
BSCC-142,923,185.32,240
BSCC-142,923,153.94,1345
BSCC-142,923,139.24,2066
BSCC-142,923,115.7,5358
BSCC-142,923,100.01,9942
BSCC-142,948,153.94,184
BSCC-142,948,77.46,9563
BSCC-142,973,123.55,224
BSCC-142,973,100.01,746
BSCC-145,823,354.95,106
BSCC-145,823,308.86,456
BSCC-145,823,262.79,1398
BSCC-145,823,231.4,4288
BSCC-145,823,201.01,23739
BSCC-145,873,239.25,318
BSCC-145,873,215.72,686
BSCC-145,873,193.16,4715
BSCC-145,873,177.48,15992
BSCC-145,873,153.94,39227
BSCC-145,898,208.85,125
BSCC-145,898,185.32,1099
BSCC-145,898,161.79,7824
BSCC-145,898,147.08,15182
BSCC-145,898,131.39,23259
BSCC-145,923,185.32,242
BSCC-145,923,153.94,2158
BSCC-145,923,139.24,4847
BSCC-145,923,115.7,11563
BSCC-145,923,100.01,22933
BSCC-145,923,84.33,36240
BSCC-145,948,153.94,254
BSCC-145,948,131.39,760
BSCC-145,948,107.86,3130
BSCC-145,948,92.17,5796
BSCC-145,948,77.46,16073
BSCC-145,973,123.55,296
BSCC-145,973,100.01,1032
BSCC-145,973,85.31,2453
BSCC-145,973,69.62,7617
BSCC-145,973,51.97,30046
BSCC-148,823,354.95,221
BSCC-148,823,308.86,764
BSCC-148,823,262.79,2371
BSCC-148,823,231.4,15043
BSCC-148,873,262.79,108
BSCC-148,873,239.25,865
BSCC-148,873,215.72,1481
BSCC-148,873,193.16,17475
BSCC-148,873,177.48,30839
BSCC-148,873,153.94,49009
BSCC-148,873,139.24,70333
BSCC-148,898,208.85,317
BSCC-148,898,185.32,6550
BSCC-148,898,161.79,13993
BSCC-148,898,147.08,15830
BSCC-148,898,131.39,20921
BSCC-148,923,185.32,448
BSCC-148,923,153.94,3566
BSCC-148,923,139.24,5894
BSCC-148,923,115.7,10040
BSCC-148,923,100.01,16905
BSCC-148,923,100.01,17290
BSCC-148,923,85.31,33257
BSCC-148,948,153.94,1194
BSCC-148,948,131.39,2058
BSCC-148,948,107.86,4169
BSCC-148,948,92.17,8122
BSCC-148,948,77.46,15263
BSCC-148,973,123.55,814
BSCC-148,973,100.01,1528
BSCC-148,973,85.31,3476
BSCC-148,973,69.62,7614
BSCC-148,973,53.93,25065
BSCC-15,923,161.79,2300
BSCC-15,923,139.24,5207
BSCC-15,923,107.86,11833
BSCC-152,873,193.16,1157
BSCC-152,873,169.63,18882
BSCC-152,923,123.55,10534
BSCC-152,923,107.86,35020
BSCC-152,923,92.17,56802
BSCC-16,873,223.56,3659
BSCC-16,873,208.85,8916
BSCC-16,873,185.32,29205
BSCC-16,898,193.16,3731
BSCC-16,898,169.63,4852
BSCC-16,898,147.08,16171
BSCC-16,898,131.39,26165
BSCC-16,923,161.79,1080
BSCC-16,923,139.24,4152
BSCC-16,923,107.86,20228
BSCC-16,973,92.17,4260
BSCC-16,973,85.31,6865
BSCC-17,923,161.79,1099
BSCC-17,923,139.24,2756
BSCC-17,923,107.86,7980
BSCC-18,873,223.56,7692
BSCC-18,873,208.85,15240
BSCC-18,873,185.32,22412
BSCC-18,898,193.16,6417
BSCC-18,898,169.63,11787
BSCC-18,898,147.08,13954
BSCC-18,898,131.39,35511
BSCC-18,923,161.79,2384
BSCC-18,923,139.24,5492
BSCC-18,923,107.86,24169
BSCC-19,873,223.56,1063
BSCC-19,873,208.85,2659
BSCC-19,873,185.32,11211
BSCC-19,898,193.16,906
BSCC-19,898,169.63,3795
BSCC-19,898,147.08,8852
BSCC-19,898,131.39,19717
BSCC-19,923,161.79,894
BSCC-19,923,147.08,1686
BSCC-19,923,139.24,2911
BSCC-19,923,107.86,13545
BSCC-19,973,85.31,3496
BSCC-20,923,161.79,611
BSCC-20,923,139.24,3893
BSCC-20,923,107.86,16179
BSCC-21,873,208.85,2345
BSCC-21,873,223.56,6741
BSCC-21,873,185.32,13802
BSCC-21,898,193.16,1547
BSCC-21,898,169.63,5781
BSCC-21,898,147.08,12399
BSCC-21,898,131.39,24107
BSCC-21,923,161.79,1261
BSCC-21,923,139.24,3206
BSCC-21,923,107.86,16678
BSCC-24,873,223.56,1038
BSCC-24,873,208.85,3679
BSCC-24,873,185.32,11498
BSCC-24,898,193.16,1139
BSCC-24,898,169.63,3256
BSCC-24,898,147.08,8479
BSCC-24,898,131.39,13158
BSCC-24,923,161.79,771
BSCC-24,923,139.24,3098
BSCC-24,923,107.86,7195
BSCC-24,923,92.17,10980
BSCC-25,923,161.79,655
BSCC-25,923,139.24,1712
BSCC-25,923,107.86,5235
BSCC-25,923,92.17,10920
BSCC-26,873,223.56,3463
BSCC-26,873,208.85,4398
BSCC-26,873,185.32,15158
BSCC-26,898,193.16,2078
BSCC-26,898,169.63,6727
BSCC-26,898,147.08,20696
BSCC-26,898,131.39,21968
BSCC-26,923,161.79,1742
BSCC-26,923,139.24,3424
