Heat/Lot ID,Temp (K),Stress (MPa),Life (h)
33,823,330.97,1213
33,823,313.97,1349
33,848,309.97,232
33,848,309.97,325
33,848,282.97,1260
33,848,275.97,1810
33,848,261.97,2350
33,848,248.98,4780
33,848,240.97,7500
33,848,227.98,11680
33,848,233.98,16375
33,848,224.98,21740
33,848,192.98,42050
33,848,164.98,43690
33,898,206.98,504
33,898,213.98,555
33,898,188.98,1010
33,898,196.98,1969
33,898,199.98,2534
33,898,181.98,3140
33,898,188.98,3280
33,898,199.98,3330
33,898,171.98,5760
33,898,165.98,6460
33,898,178.98,7160
33,898,178.98,7600
33,898,157.98,9400
33,898,151.99,13016
33,898,144.99,14658
33,898,130.99,24176
33,898,103.99,43560
55318,921.89,206.82,290.5
55318,1033,96.52,196.2
55319,921.89,206.82,367.6
55319,1033,96.52,222.3
55320,838.56,379.17,194
55320,838.56,344.7,360.5
55320,838.56,330.91,502.6
55320,838.56,310.23,2483.2
55320,921.89,234.4,120.6
55320,921.89,206.82,448.8
55320,921.89,199.93,529.5
55320,921.89,179.24,970
55320,921.89,165.46,2132.6
55320,1033,103.41,121.5
55320,1033,96.52,222.7
332990,810.78,475.69,106
332990,810.78,413.64,129.6
332990,810.78,399.85,203.9
332990,810.78,379.17,263.1
332990,810.78,344.7,432.9
332990,810.78,310.23,1032
332990,810.78,275.76,2795
332990,866.33,261.97,157.8
332990,866.33,275.76,196.9
332990,866.33,248.18,236.2
332990,866.33,234.4,338.1
332990,866.33,248.18,359.2
332990,866.33,261.97,481.1
332990,866.33,220.61,1113.2
332990,866.33,213.71,2395
332990,921.89,199.93,115
332990,921.89,206.82,141.2
332990,921.89,193.03,168.4
332990,921.89,172.35,374.5
332990,921.89,158.56,989
332990,921.89,151.67,1294
332990,1033,82.73,274.6
332990,1033,68.94,1050.5
332990,1033,62.05,1810.1
  CSC SHT,921.89,172.35,360
  CSC SHT,921.89,158.56,1183
  CSC SHT,1033,82.73,217
  CSC SHT,1033,68.94,633
  CSC SHT,1088.56,55.15,192
  CSC SHT,1088.56,41.36,1072
  CSC SHT,1144.11,34.47,239
  CSC SHT,1144.11,27.58,725
  CSC SHT,1255.22,10.34,224
2P3712A,866.33,275.76,149.1
2P3712A,866.33,241.29,1520.1
2P3712M,866.33,275.76,163.1
2P3712M,866.33,241.29,883.7
2P3712M,866.33,241.29,1831.3
30160A,866.33,275.76,220
30160A,866.33,241.29,827.8
30160M,866.33,275.76,245.1
327686M,866.33,344.7,531.4
40M,898,223.98,1374
40M,898,206.98,10430
500613A,866.33,275.76,122.8
500613A,866.33,241.29,460.7
500613A,866.33,241.29,661.4
500613M,866.33,275.76,197
500613M,866.33,241.29,465.4
500613M,866.33,241.29,1244.5
58M,823,330.97,513
58M,823,295.97,1840
58M,823,316.97,2144
58M,823,302.97,2605
58M,823,309.97,2650
58M,823,316.97,2787
58M,823,285.97,3520
58M,823,292.97,6270
58M,823,275.97,8180
58M,898,244.97,196
58M,898,207.98,897
58M,898,207.98,926
58M,898,223.98,981
58M,898,199.98,1129
58M,898,185.98,2562
58M,898,185.98,2720
58M,898,192.98,3125
58M,898,172.98,4225
58M,898,178.98,4254
58M,898,164.98,5897
75M,898,206.98,493
75M,898,213.98,587
75M,898,195.98,772
75M,898,206.98,816
