Heat/Lot ID,Temp (K),Stress (MPa),Time to 1% (h)
  CSC sht,921.89,110.3,440
  CSC sht,921.89,103.41,1600
  CSC sht,1033,82.73,10.5
  CSC sht,1033,68.94,16.5
  CSC sht,1033,55.15,36
  CSC sht,1033,48.26,220
  CSC sht,1088.56,55.15,8.7
  CSC sht,1088.56,41.36,35
  CSC sht,1088.56,34.47,100
  CSC sht,1088.56,24.13,2800
  CSC sht,1144.11,34.47,8.5
  CSC sht,1144.11,27.58,75
  CSC sht,1255.22,10.34,52
8092297m,810.78,137.88,52000
8092297m,866.33,106.86,12000
8092297m,866.33,86.18,86000
8092297m,921.89,82.73,1300
AaA,973,87.99,74.4
AaA,1023,52.99,74.4
AaA,1023,41,273
AaA,1023,33,1150
AaA,1023,26,4810
AaA,1073,33,108
AaA,1073,26,691
AaA,1073,20,2260
AaA,1123,20,302
AaB,973,87.99,250
AaB,1023,68.99,24
AaB,1023,52.99,158
AaB,1023,41,1620
AaB,1023,33,5210
AaB,1023,26,18200
AaB,1048,41,307
AaB,1073,33,427
AaB,1073,26,1560
AaB,1073,20,7940
AaB,1123,20,1170
AaD,873,176.98,68
AaD,923,166.98,13.3
AaD,923,146.98,86.5
AaD,923,126.99,1410
AaD,923,112.99,3940
AaD,973,136.98,6
AaD,973,117.99,24.5
AaD,973,107.99,82
AaD,973,97.99,214
AaD,973,82.99,1440
AaD,973,63.99,10900
AaD,1023,97.99,5.2
AaD,1023,73.99,191
AaD,1023,68.99,214
AaD,1023,58.99,1810
AaD,1023,48.99,2760
AaD,1023,48.99,3360
AaD,1023,39,6380
AaD,1073,48.99,362
AaD,1073,39,1100
AaD,1073,29,3810
AAL,873,156.98,692
AAL,873,136.98,10600
AAL,873,126.99,15900
AAL,873,107.99,34900
AAL,923,156.98,3
AAL,923,107.99,800
AAL,923,97.99,2470
AAL,923,87.99,7110
AAL,923,82.99,15000
AAL,923,68.99,102000
AAL,923,60.99,174000
AAL,973,107.99,35
AAL,973,87.99,95
AAL,973,73.99,747
AAL,973,60.99,23200
AAL,973,52.99,26500
AAL,973,46.99,53800
AAL,973,41,118000
AAL,1023,87.99,8
AAL,1023,52.99,336
ADA,973,87.99,93
ADA,1023,68.99,23.5
ADA,1023,52.99,108
ADA,1023,41,390
ADA,1023,33,2400
ADA,1023,26,6020
ADA,1073,33,220
ADA,1073,26,836
ADA,1073,20,3030
ADA,1123,20,511
ADB,973,87.99,84.5
ADB,1023,68.99,22.5
ADB,1023,52.99,138
ADB,1023,41,1480
ADB,1023,33,5830
ADB,1023,26,10200
ADB,1073,33,182
ADB,1073,26,1360
ADB,1073,20,3500
ADB,1123,20,462
ADC,923,136.98,48
ADC,973,87.99,76.5
ADC,1023,68.99,26.5
ADC,1023,52.99,238
ADC,1023,41,1540
ADC,1023,33,3030
ADC,1023,26,4590
ADC,1073,33,444
ADC,1073,26,2300
ADC,1073,20,5610
ADC,1123,20,1650
ADD,973,87.99,94
ADD,1023,68.99,34
ADD,1023,52.99,338
ADD,1023,41,1420
ADD,1023,33,2170
ADD,1023,26,4010
ADD,1073,33,670
ADD,1073,26,1900
ADD,1073,20,6120
ADD,1123,20,1790
ADE,973,87.99,86
ADE,1023,68.99,25.5
ADE,1023,52.99,136
ADE,1023,41,777
ADE,1023,33,4310
ADE,1023,26,11200
ADE,1073,33,236
ADE,1073,26,2160
ADE,1073,20,6200
ADE,1123,20,2140
ADF,973,87.99,85
ADF,1023,68.99,23.5
ADF,1023,52.99,154
ADF,1023,37,3500
ADF,1023,33,4420
ADF,1023,26,10900
ADF,1073,33,400
ADF,1073,26,1860
ADF,1123,26,176
ADF,1123,20,2030
BSCC-1,923,107.86,740
BSCC-1,973,77.46,200
BSCC-1,973,46.09,4300
BSCC-1,1023,46.09,270
BSCC-1,1023,30.4,800
