Heat/Lot ID,Temp (R),Stress (ksi),Life (h)
24085,1509.67,30.00,2373.2
24085,1509.67,35.00,2735.4
24085,1659.67,25.00,645.0
24085,1659.67,22.50,2634.0
24085,1659.67,20.00,5656.0
24085,1659.67,17.00,13830.0
24085,1759.67,16.00,365.0
24085,1759.67,15.00,540.4
24085,1759.67,12.00,2303.0
24085,2059.67,6.00,112.8
24085,2059.67,4.50,594.6
24085,2059.67,4.00,1021.9
24085,2059.67,3.00,3201.0
346544,1459.67,46.00,120.1
346544,1459.67,46.00,139.3
346544,1559.67,30.00,356.1
346544,1559.67,30.00,431.0
346544,2059.67,5.00,222.1
346544,2059.67,4.00,747.0
346544,2059.67,3.00,3154.0
535639,1459.67,35.00,6401.0
535639,1559.67,40.00,156.4
535639,1559.67,35.00,164.7
535639,1559.67,25.00,719.3
535639,1559.67,30.00,941.6
535639,1559.67,30.00,1271.0
535639,1559.67,20.00,1673.0
535639,1559.67,20.00,1681.7
535639,1559.67,25.00,2928.0
535639,1559.67,22.50,2987.0
535639,1659.67,30.00,119.8
535639,1659.67,25.00,344.7
535639,1659.67,20.00,3034.0
600413m,1459.67,46.00,252.6
600413m,1559.67,35.00,325.9
600413m,1559.67,20.00,1959.0
600413m,1559.67,17.00,117148.0
600413m,1659.67,25.00,340.0
600414an,1559.67,35.00,119.5
600414an,1559.67,35.00,415.6
600414an,1559.67,30.00,1795.0
600414an,1559.67,17.00,93951.6
600414an,1659.67,25.00,266.3
8043813-ann-1900F,1659.67,25.00,104.0
8043813-ann-1900F,1659.67,22.00,577.0
8043813-ann-1900F,1659.67,20.00,1642.0
8043813-ann-1950F,1459.67,50.00,348.0
8043813-ann-1950F,1459.67,45.00,837.0
8043813-ann-1950F,1559.67,35.00,287.0
8043813-ann-1950F,1559.67,33.00,723.0
8043813-ann-1950F,1559.67,32.00,1570.0
8043813-ann-1950F,1559.67,30.00,3184.0
8043813-mill,1659.67,25.00,298.7
8043813-mill,1659.67,22.50,1072.0
8043813-mill,1759.67,17.00,178.0
9T2796-ann-1in. plate,1359.67,55.00,668.0
9T2796-ann-1in. plate,1359.67,50.00,884.0
9T2796-ann-1in. plate,1359.67,45.00,3621.0
9T2796-ann-1in. plate,1409.67,50.00,122.1
9T2796-ann-1in. plate,1409.67,45.00,269.0
9T2796-ann-1in. plate,1409.67,40.00,655.0
9T2796-ann-1in. plate,1409.67,35.00,3511.0
9T2796-ann-1in. plate,1459.67,40.00,139.7
9T2796-ann-1in. plate,1459.67,40.00,162.8
9T2796-ann-1in. plate,1459.67,35.00,350.4
9T2796-ann-1in. plate,1459.67,35.00,594.8
9T2796-ann-1in. plate,1459.67,30.00,2219.0
9T2796-ann-1in. plate,1509.67,35.00,114.5
9T2796-ann-1in. plate,1509.67,30.00,419.9
9T2796-ann-1in. plate,1509.67,25.00,2054.0
9T2796-ann-1in. plate,1559.67,60.00,110.8
9T2796-ann-1in. plate,1559.67,22.50,440.0
9T2796-ann-1in. plate,1559.67,25.00,505.0
9T2796-ann-1in. plate,1559.67,25.00,553.0
9T2796-ann-1in. plate,1559.67,25.00,619.0
9T2796-ann-1in. plate,1559.67,22.50,878.0
9T2796-ann-1in. plate,1559.67,21.25,1063.0
9T2796-ann-1in. plate,1559.67,20.00,1230.0
9T2796-ann-1in. plate,1559.67,22.50,1247.0
9T2796-ann-1in. plate,1559.67,17.50,15500.0
9T2796-ann-1in. plate,1559.67,17.50,15500.0
9T2796-ann-1in. plate,1609.67,25.00,119.0
9T2796-ann-1in. plate,1609.67,25.00,119.0
9T2796-ann-1in. plate,1609.67,20.00,649.0
9T2796-ann-1in. plate,1609.67,20.00,649.0
9T2796-ann-1in. plate,1609.67,17.50,2635.0
9T2796-ann-1in. plate,1609.67,15.00,4596.0
9T2796-ann-1in. plate,1609.67,15.00,4596.0
9T2796-ann-1in. plate,1609.67,12.50,31527.0
9T2796-ann-2in. Plate,1359.67,30.00,34964.0
9T2796-ann-2in. Plate,1459.67,20.00,30763.0
9T2796-ann-2in. Plate,1559.67,25.00,244.1
9T2796-ann-2in. Plate,1559.67,25.00,291.0
9T2796-ann-2in. Plate,1559.67,25.00,294.0
9T2796-ann-2in. Plate,1559.67,25.00,423.0
9T2796-ann-2in. Plate,1559.67,25.00,453.0
9T2796-ann-2in. Plate,1559.67,18.00,4544.0
9T2796-ann-2in. Plate,1559.67,16.00,14647.0
9T2796-ann-2in. Plate,1559.67,12.00,100417.0
9T2796-ann-5/8in.,1659.67,25.00,104.0
9T2796-ann-5/8in.,1659.67,25.00,298.7
9T2796-ann-5/8in.,1659.67,22.00,577.0
9T2796-ann-5/8in.,1659.67,22.50,1072.0
9T2796-ann-5/8in.,1659.67,20.00,1642.0
9T2796-ann-5/8in.,1759.67,17.00,178.0
A 9-209,1509.67,27.00,1396.8
A 9-209,1509.67,23.00,4279.2
A 9-209,1509.67,20.00,12019.0
A 9-209,1659.67,20.00,139.3
A 9-209,1659.67,16.50,698.6
A 9-209,1659.67,13.00,3734.2
A 9-209,1659.67,11.00,14292.7
A 9-21a,1359.67,52.20,216.4
A 9-21a,1359.67,52.20,216.4
A 9-21a,1359.67,50.00,464.7
A 9-21a,1359.67,50.00,464.7
A 9-21a,1359.67,47.00,814.0
A 9-21a,1359.67,47.00,814.0
A 9-21a,1509.67,32.00,216.0
A 9-21a,1509.67,32.00,216.0
A 9-21a,1509.67,28.00,915.7
A 9-21a,1509.67,28.00,915.7
A 9-21a,1659.67,19.00,234.5
A 9-21a,1659.67,16.50,598.2
A 9-21a,1759.67,10.00,871.7
A 9-21a,1859.67,8.00,225.7
A 9-21a,1959.67,6.00,152.9
A 9-21a,1959.67,4.40,588.3
A 9-21a,2059.67,3.50,209.7
